unique_ID,Latitude,Longitude,Date,Year,State,Source,CO,CO_dist,CO_nobs,NO2,NO2_dist,NO2_nobs,O3,O3_dist,O3_nobs,SO2,SO2_dist,SO2_nobs,PM2.5,PM2.5_dist,PM2.5_daydiff,PM10,PM10_dist,PM10_daydiff,Lead,Lead_dist,Lead_daydiff,wind,wind_dist,tavg,tavg_dist,tmax,tmax_dist,tmin,tmin_dist,precip,precip_dist,PDSI,PM2.5_exc_val,PM2.5_exc_dist,PM2.5_exc_daydiff,PM10_exc_val,PM10_exc_dist,PM10_exc_daydiff,Lead_exc_val,Lead_exc_dist,Lead_exc_daydiff,CO_exc_val,CO_exc_dist,NO2_exc_val,NO2_exc_dist,O3_exc_val,O3_exc_dist,SO2_exc_val,SO2_exc_dist
33998,47.4101,-115.2945,2010-08-31,2010,MT,USFS,0.454,100.5443542,24,0.625,75.14635136,24,0.022,71.64007864,24,0.692,268.3938523,24,3.329,12.82086084,0,6,12.82086084,1,0.028,404.7947546,1,2.5,16.71639392,11.8,11.05230843,17.2,11.05230843,7.2,11.05230843,0,12.05717974,1.88,NA,NA,NA,210,672.003,3,0.24,939.336,0,NA,NA,NA,NA,0.071,690.026,NA,NA
33999,48.432,-115.8128,2010-11-05,2010,MT,USFS,1.254,91.64954949,24,7.533,307.1542349,24,0.003,138.0632512,24,0.396,306.4324711,24,5.3,12.23837249,1,38,12.23837249,0,0.01,412.1053877,1,3.1,67.89493195,3.7,5.337076258,7.8,5.337076258,-0.6,5.337076258,0,12.23710011,1.76,37.333,790.545,0,191,1085.182,0,0.19,1005.352,0,NA,NA,NA,NA,0.072,860.456,NA,NA
34000,47.3967,-115.28,2010-09-04,2010,MT,USFS,0.258,101.3830115,24,1.565,76.11447646,23,0.024,70.56863025,24,0.675,267.6200471,24,5.092,13.82668861,0,14,13.82668861,1,0.004,405.1368775,1,3,17.5808358,15.9,9.949467558,26.1,6.694535486,3.3,6.694535486,0,6.694535486,2.11,NA,NA,NA,357,671.32,3,0.77,938.546,0,NA,NA,NA,NA,0.071,587.58,144,1022.866
34001,48.4879,-115.1645,2010-08-17,2010,MT,USFS,0.6,119.0172527,24,3.667,89.82346294,21,0.017,53.54263301,24,7.442,336.4146696,24,6.7,19.04601446,1,21,19.04601446,0,0.053,440.0320756,1,2.2,43.2832048,19,14.25785695,32.2,8.871157189,9.4,8.871157189,0,8.871157189,1.88,NA,NA,NA,156,1079.439,0,0.42,1013.787,1,NA,NA,NA,NA,0.075,313.502,NA,NA
34002,48.4852,-115.1844,2010-08-15,2010,MT,USFS,0.275,118.125057,24,1.522,88.95115353,23,0.023,54.46142351,24,2.323,335.4849974,22,2.9,18.12621954,0,10,18.12621954,0,0.02,439.1381035,3,1.7,44.10539409,14.8,13.50696784,28.9,8.042817831,8.3,8.042817831,0,8.042817831,1.88,NA,NA,NA,169,1083.291,0,0.28,1013.445,1,NA,NA,NA,NA,0.075,406.243,NA,NA
34003,48.5375,-115.1362,2010-09-01,2010,MT,USFS,0.396,121.8027424,24,1.682,92.76570305,22,0.02,52.23146645,24,0.422,338.2034946,23,1.6,21.63152218,1,12,21.63152218,0,0.028,442.7859955,2,2.2,43.18518612,7.1,14.54221916,9.4,14.54221916,4.8,14.54221916,15.2,14.54221916,2.11,NA,NA,NA,NA,NA,NA,0.31,1017.39,0,NA,NA,NA,NA,0.081,735.471,NA,NA
34004,48.4802,-115.1693,2010-09-01,2010,MT,USFS,0.396,118.5724839,24,1.682,89.35548634,22,0.02,53.78460348,24,0.422,336.1210204,23,1.6,18.65932775,1,12,18.65932775,0,0.028,439.5890637,2,2.2,43.34440777,7.1,14.28082054,9.4,14.28082054,4.8,14.28082054,15.2,14.28082054,2.11,NA,NA,NA,NA,NA,NA,0.31,1013.224,0,NA,NA,NA,NA,0.081,731.236,NA,NA
34005,48.4849,-115.1552,2010-08-02,2010,MT,USFS,0.533,119.2959275,24,2.917,90.07633407,24,0.019,53.12459036,22,7.143,336.8070913,23,9.7,19.37673342,1,40,19.37673342,1,0.011,440.3125605,2,1.8,42.81520449,14.5,14.73165044,27.8,9.094139099,11.7,9.094139099,0,9.094139099,1.88,NA,NA,NA,860,1100.197,1,0.27,1013.656,0,NA,NA,NA,NA,0.076,520.293,141,1094.408
34006,48.5397,-115.1415,2010-08-02,2010,MT,USFS,0.533,121.6656453,24,2.917,92.64677174,24,0.019,52.47864598,22,7.143,337.9867786,23,9.7,21.4886273,1,40,21.4886273,1,0.011,442.6436453,2,1.8,43.46693847,14.5,14.27909243,27.8,12.08588969,11.7,12.08588969,0,12.08588969,1.88,NA,NA,NA,860,1104.001,1,0.27,1017.498,0,NA,NA,NA,NA,0.076,523.692,141,1097.947
34007,48.477,-115.1579,2010-08-02,2010,MT,USFS,0.533,118.9311318,24,2.917,89.68481678,24,0.019,53.27324783,22,7.143,336.6072708,23,9.7,19.08503503,1,40,19.08503503,1,0.011,439.9487221,2,1.8,42.78100194,14.5,14.8477608,27.8,8.68975163,11.7,8.68975163,0,8.68975163,1.88,NA,NA,NA,860,1099.648,1,0.27,1013.096,0,NA,NA,NA,NA,0.076,519.814,141,1093.906
34008,48.4821,-115.14,2010-08-02,2010,MT,USFS,0.533,119.8217678,24,2.917,90.56919503,24,0.019,52.43658132,22,7.143,337.4695395,23,9.7,19.97464665,1,40,19.97464665,1,0.011,440.8394089,2,1.8,42.0920294,14.5,15.44802277,27.8,9.573341274,11.7,9.573341274,0,9.573341274,1.88,NA,NA,NA,860,1100.019,1,0.27,1013.587,0,NA,NA,NA,NA,0.076,519.889,141,1094.057
34009,48.4737,-115.1539,2010-08-02,2010,MT,USFS,0.533,118.9874992,24,2.917,89.72274417,24,0.019,53.1021832,22,7.143,336.7568682,23,9.7,19.19140746,1,40,19.19140746,1,0.011,440.0051076,2,1.8,42.54242441,14.5,15.11273946,27.8,8.728335257,11.7,8.728335257,0,8.728335257,1.88,NA,NA,NA,860,1099.424,1,0.27,1012.904,0,NA,NA,NA,NA,0.076,519.539,141,1093.641
34010,48.483,-115.1451,2010-08-02,2010,MT,USFS,0.533,119.6438169,24,2.917,90.40204136,24,0.019,52.66744854,22,7.143,337.246846,23,9.7,19.7722171,1,40,19.7722171,1,0.011,440.6612913,2,1.8,42.33389423,14.5,15.20867118,27.8,9.407600435,11.7,9.407600435,0,9.407600435,1.88,NA,NA,NA,860,1100.076,1,0.27,1013.607,0,NA,NA,NA,NA,0.076,520.022,141,1094.172
34011,48.522,-115.3291,2010-02-08,2010,MT,USFS,0.529,113.6251774,24,9.283,329.1495119,24,0.02,61.04917452,24,2.261,329.3075456,23,29.4,13.6824764,1,68,13.6824764,0,0.004,434.5026142,1,0.5,51.18640604,-3,6.455552002,-1.8,6.455552002,-4,6.455552002,0,6.455552002,-2.61,49.1,930.209,1,188,1103.35,1,0.16,1014.842,0,NA,NA,NA,NA,0.082,648.308,NA,NA
34012,47.9493,-115.6792,2010-09-20,2010,MT,USFS,0.412,83.28254909,24,0.957,53.38252797,23,0.026,53.38252797,24,0.808,302.5172289,24,2.9,29.59241145,0,6,29.59241145,3,0.007,402.1819745,3,3,34.09683964,11.9,6.241764854,15.6,6.241764854,10,6.241764854,22.1,9.899290163,2.11,NA,NA,NA,NA,NA,NA,0.2,973.191,1,NA,NA,NA,NA,0.083,927.107,96,1064.638
34013,47.9493,-115.6792,2010-09-20,2010,MT,USFS,0.412,83.28254909,24,0.957,53.38252797,23,0.026,53.38252797,24,0.808,302.5172289,24,2.9,29.59241145,0,6,29.59241145,3,0.007,402.1819745,3,3,34.09683964,11.9,6.241764854,15.6,6.241764854,10,6.241764854,22.1,9.899290163,2.11,NA,NA,NA,NA,NA,NA,0.2,973.191,1,NA,NA,NA,NA,0.083,927.107,96,1064.638
34014,47.9493,-115.6792,2010-09-02,2010,MT,USFS,0.383,83.28254909,23,2.591,53.38252797,22,0.021,53.38252797,24,0.642,302.5172289,24,2.7,29.59241145,0,6,29.59241145,3,0.028,402.1819745,3,2.5,34.09683964,13.1,6.241764854,24.4,6.241764854,7.2,6.241764854,3.6,9.899290163,2.11,NA,NA,NA,NA,NA,NA,0.25,973.191,0,NA,NA,NA,NA,0.071,619.339,179,1064.638
34015,48.5627,-115.2734,2010-05-12,2010,MT,USFS,0.425,117.2686086,24,3.25,88.61300275,24,0.044,58.58049804,24,0.558,332.272596,19,2.8,17.46135935,1,14,17.46135935,0,0.01,438.0927156,2,2,49.6730896,7.2,8.099419276,13,8.099419276,0.4,8.099419276,0,8.099419276,0.98,NA,NA,NA,153,1089.285,0,0.49,1018.039,0,NA,NA,NA,NA,0.086,743.194,NA,NA
34016,48.5605,-115.2321,2010-01-04,2010,MT,USFS,1.143,48.93753342,23,6.804,333.5449593,24,0.016,56.68443273,22,1.139,334.1141439,23,30.5,18.80235908,1,31,18.80235908,0,0.006,439.6778225,2,0.4,47.85393786,-1.7,9.995962681,-0.6,9.995962681,-2.7,9.995962681,15.2,9.995962681,-1.85,38,933.821,0,153,1088.801,2,0.19,1018.206,0,NA,NA,NA,NA,0.075,646.338,100.1,877.496
